id,freq_rank,t_word,freq_english,freq_ipa,frequency,freq_example,smart_match_id,dict_id,rom_id,e_dict,e_dict_v,dict_category,rom_category,romanization,phonetic,_sample_sentence,t_def,t_syn,t_ant,e_related,etymology,domain,match_type
23,24,ทั้ง,all; both,tʰáŋ,63432,เด็กๆ ดีใจกันทั้งโรงเรียน,3018,24136,9939,both,and together with ; as well as ; both ; and,DET,adv.,thang,¯thang,ทั้งนิพนธ์และภรรยามีความสุขในชีวิตสมรสมาก,,"รวมหมด, ทั่ว",,all,,,matched
24,25,เมื่อ,when,mɯ̂ːa,86428,เมื่อระดับน้ำสูงท่วมรากพืชมันก็จะเริ่มเน่าเพราะรากแช่น้ำ,5061,35433,5598,when,when ; at the time ; by the time that ; while ; at ; in,CONJ,conj.,meūa,\meūa,กรรมการเริ่มจับเวลาเมื่อเสียงนกหวีดดังขึ้น,"ครั้งนั้น, เวลาในขณะนั้น","ครั้น, พอ",,at the time,,,matched
27,28,อยู่,located; present; exists,jùː,178376,สายตาทุกคู่หันมาจับจ้องเขามีแววสงสัยเหมือนอย่างอยากรู้เรื่องที่เขากำลังพูดอยู่,,,,,located; present; exists,,,xyū̀,,,,,,,,,freq_only
29,31,อย่าง,type; like,jàːŋ,150715,โครงสร้างของสะพานรถไฟบางอย่างออกแบบไว้สำหรับการบรรทุกน้ำมันเครื่องเคมีที่เป็นของเหลวแ,39519,7980,,type,type; like,N,,xỳāng,,โครงสร้างของสะพานรถไฟบางอย่างออกแบบไว้สำหรับการบรรทุกน้ำมันเครื่องเคมีที่เป็นของเหลวและปูนซีเมนต์,,"ชนิด, สิ่ง",,kind; sort,,,dict_only
30,32,ความ,matter; affair; subject,kʰwaːm,219348,คดีที่เป็นตัวอย่างการพิจารณาความอาญาเก็บไว้ในห้องสมุด,,,,,matter; affair; subject,,,khwām,,,,,,,,,freq_only
28,29,ก็,then,kɔ̂ː,292116,ญี่ปุ่นก็เป็นอีกชาติหนึ่งที่กำลังทุ่มเททางด้านคอมพิวเตอร์เป็นอย่างมาก,1,29313,4431,also,then ; subsequently ; so ; afterwards ; as ; still ; also ; too ; if ; well why not ; well ; possibly ; probably,ADV,adv.,kø [= kǿ],\kø,ญี่ปุ่นก็เป็นอีกชาติหนึ่งที่กำลังทุ่มเททางด้านคอมพิวเตอร์เป็นอย่างมาก,เช่นเดียวกัน,,,likewise,,RID,matched
31,33,นั้น,that,nán,128963,การนำเสนอของเราวันนี้น่าจะทำได้ดีกว่านั้น,3401,38231,6072,that,that ; those,PRON,adj.,nận,¯nan,การนำเสนอของเราวันนี้น่าจะทำได้ดีกว่านั้น,ใช้ประกอบนามหรือข้อความที่กล่าวอ้างมาแล้ว,,นี้,those,,TOURIST,matched
32,34,มาก,much,mâːk,106955,สัตว์และมนุษย์ไม่มีอะไรแตกต่างกันมาก,4968,40453,5461,very much,much ; very much ; many ; very ; a lot of ; plenty ; abundantly ; extremely ; plentifully ; profusely,ADV,adv.,māk,\māk,เรื่องนี้ยังคงเป็นประเด็นที่ถกเถียงกันอย่างมาก,มีปริมาณสูง,"มากมาย, หลาย",น้อย,much; many; a lot of; a lot; very,,TOURIST,matched
33,35,แล้ว,already,lɛ́ːw,187222,กลุ่มผู้ชุมนุมได้ทำการปิดถนนบางนา-ตราดทั้งหมดแล้ว,5948,7083,4771,already,already,ADV,adv.,laēo,¯laēo,กลุ่มผู้ชุมนุมได้ทำการปิดถนนบางนา-ตราดทั้งหมดแล้ว,เสร็จสิ้นหรือสุดสิ้นลง,,,,,,matched
34,36,ถูก,cheap,tʰùːk,52748,มือของผมบังเอิญไปถูกเขา แค่นี้เขาก็หันมาจ้องหน้าผม,,,,,cheap,,,t̄hūk,,,,,,,,,freq_only
35,38,หรือ,or,rɯ̌ː,174937,ในช่วงเวลาตั้งแต่พุทธศตวรรษที่ 16 ลงมาเมืองละโว้ หรือลพบุรีเป็นนครใหญ่ ที่มีความรุ่งเรืองกว่าบรรดาเมืองอื่นๆ,7040,17644,8233,or,or,CONJ,conj.,reū,/reū,ในช่วงเวลาตั้งแต่พุทธศตวรรษที่ 16 ลงมาเมืองละโว้ หรือลพบุรีเป็นนครใหญ่ ที่มีความรุ่งเรืองกว่าบรรดาเมืองอื่นๆ,คำบอกความให้กำหนดเอา,,,,,RID ; TOURIST,matched
36,39,เพราะ,because,pʰrɔ́ʔ,82143,รัฐบาลตัดสินใจสลายการชุมนุมอย่างรวดเร็ว เพราะหากปล่อยให้ยืดเยื้อย่อมกระทบต่อการลงทุนของต่างชาติ,,,,,because,,,pherāa,,,,,,,,,freq_only
37,40,เวลา,time,weː laː,58344,การวิจารณ์ไม่ว่าจะใช้ในเวลาใดก็ตามต้องมีลักษณะสร้างสรรค์มิใช่ทำลาย,6083,17613,10870,time,time,N,n.,wēlā,#NAME?,เจ้าหน้าที่ตำรวจจนต้องใช้เวลากล่อมนานกว่า 6 ชั่วโมง ผู้ร้ายจึงยอมมอบตัว,ชั่วขณะความยาวนานที่มีอยู่หรือเป็นอยู่ โดยนิยมกำหนดขึ้นเป็นครู่ คราว วัน เดือน ปี,,,period; hour,,RID ; SCIENTIA (phys) ; TOURIST,matched
38,41,ยัง,still,jaŋ,97677,สุนัขเป็นเพื่อนที่ซื่อสัตย์ใกล้ชิดกับคนแถมยังมีประโยชน์เฝ้าบ้านได้เวลาไม่มีใครอยู่,5217,5686,11069,still,still ; yet,ADV,adv.,yang,#NAME?,รัฐบาลยังไม่มีแนวทางที่ชัดเจนว่าจะแก้ปัญหาให้พวกเขาได้อย่างไร,,,,yet,,RID,matched
39,42,ทำ,do,tʰam,90593,ประชาชนทุกคนมีหน้าที่ทำตามกฎหมาย,3090,24552,9848,do,do ; make ; act ; perform ; engage in ; execute ; operate ; work,V,v.,tham,#NAME?,เขาชอบทำการฝีมือประเภทแกะสลักผัก ผลไม้,"คิดและทำไปตามกฎเกณฑ์ที่กำหนดไว้, ประกอบพิธีกรรมเกี่ยวกับการนั้นๆ",,,perform,,TOURIST,matched
40,43,เห็น,see,hěn,75623,เขาได้เห็นชีวิตมาทุกแง่ทุกมุมแล้ว,,,,,see,,,h̄ĕn,,,,,,,,,freq_only
41,44,เข้า,enter,kʰâw,84805,รถประจำทางจะเข้ามาที่สถานีตรงเวลาทุกวัน,847,10838,3165,enter,enter ; get into ; go into ; go inside ; come in ; go in,V,v.,khao,\khao,เด็กๆ รีบเข้าไปในบ้านก่อน อย่าให้โดนฝน เดี๋ยวไม่สบาย,อาการที่เคลื่อนไปข้างในหรือทำให้เคลื่อนไปข้างใน,เข้าไป,,get into; go into,,RID,matched
42,45,ชั้น,layer; level; grade,tɕʰán,15157,ศาลชั้นต้นได้พิจารณาคดีแล้วเมื่อเช้านี้,2050,28104,947,grade,class ; grade ; level ; rank,N,n.,chan,¯chan,น้องชายของฉันเรียนชั้นมัธยมปีที่ 1,,ชั้นเรียน,,year; form,,,matched
43,46,ซึ่ง,which,sɯ̂ŋ,113751,เราต้องการหนังสือซึ่งใช้อ้างอิงได้,2221,28868,9122,which,who ; that ; so that ; which ; where,PRON,pr.,seung,\seung,เราต้องการหนังสือซึ่งใช้อ้างอิงได้,คำใช้แทนนามหรือข้อความที่อยู่ข้างหน้า,,,that; where; what,,RID,matched
44,47,ลง,down,loŋ,59216,ในเช้าวันรุ่งขึ้นก่อนที่เขาจะกลับบ้าน หมอกลงหนาทึบจนมองไม่เห็นแม่น้ำ,32883,17410,,down,down,ADV,,lng,,ราคาของเครื่องคอมพิวเตอร์รุ่นใหม่ๆ นั้นมีราคาถูกลง แต่กลับมีขีดความสามารถสูงขึ้น,เป็นคำประกอบท้าย หมายความว่า มากกว่าเดิม,,,,,,dict_only
45,48,ถ้า,if,tʰâː,61606,ถ้าฉันเป็นมหาเศรษฐี ฉันจะไปเที่ยวรอบโลกทุกปี,2867,23330,9769,if,if ; in case ; in the event that ; just in case,CONJ,conj.,thā,\thā,ถ้าฉันเป็นมหาเศรษฐี ฉันจะไปเที่ยวรอบโลกทุกปี,คำแสดงความคาดหมาย คาดคะเน หรือข้อแม้,"ถ้าหาก, สมมติว่า, หาก, ผิ, แม้",,,,RID,matched
46,49,ตัว,body,tuːa,67503,ตัวจะไปเที่ยวกับพวกเราไหม,2604,34153,10617,body,body ; trunk,N,n.,tūa,#NAME?,ในปัจจุบันมีปัญหาสิ่งแวดล้อมนานาประการเกิดขึ้นอยู่รอบตัวเรา,คำใช้เรียกแทนคน สัตว์และสิ่งของบางอย่าง เช่น ตัวละคร ตัวหนังสือ,"รูป, ตน, ร่างกาย",,figure; physique; form; frame; shape; build,,MEDIC (anato),matched
47,50,ใช้,use,tɕʰáj,103796,ยานยนต์ทุกชนิดจำเป็นต้องใช้เชื้อเพลิง,,,,,use,,,chı̂,,,,,,,,,freq_only
48,51,ตาม,follow; acccording,taːm,108771,ตำรวจตามคนร้ายไปยังป่าทึบ,2664,21476,9628,follow,follow ; pursue ; dog ; chase ; trail ; hunt ; keep place with ; keep up with ; keep abreast with ; go after ; come after ; keep pace with,V,v.,tām,#NAME?,คุณขับนำไปก่อน แล้วผมจะตามไปติดๆ,ไปหรือมาข้างหลังหรือภายหลังโดยลำดับของสิ่ง หรือเหตุการณ์ที่มีมาก่อน,,,pursue; come after; go after,,,matched
49,52,บาง,some; thin,baːŋ,40547,แต่ก่อนต้องพายเรือจากบางหนึ่งไปบางหนึ่ง ใช้เวลาเป็นวันเลยทีเดียว,,,,,some; thin,,,bāng,,,,,,,,,freq_only
50,53,อีก,more,ʔìːk,87078,คุณควรถอยฉากออกไปตั้งหลัก คิดหาแนวทางใหม่ ก่อนจะกลับมาอีกครั้งพร้อมกับความสำเร็จ,7795,6804,1939,again,again ; more ; repeatedly ; once more ; any more ; anew,ADV,adv.,īk,_īk,คุณควรถอยฉากออกไปตั้งหลัก คิดหาแนวทางใหม่ ก่อนจะกลับมาอีกครั้งพร้อมกับความสำเร็จ,,,พอ,more; repeatedly,,RID,matched
51,54,ทำให้,make,tʰam hâj,69683,การตากฝนทำให้เป็นหวัดได้,3118,24504,9860,cause,cause ; make ; provoke,V,v.,thamhai,#NAME?,การตากฝนทำให้เป็นหวัดได้,,"เป็นเหตุให้, ทำเอา",,make,,RID,matched
52,55,ทาง,way; direction,tʰaːŋ,98834,หากเขายังเกียจคร้านอยู่อย่างนี้ เขาไม่มีทางจะสำเร็จได้,,,,,way; direction,,,thāng,,,,,,,,,freq_only
53,56,แบบ,model; style,bɛ̀ːp,53240,การคลอดแบบโบราณนั้นทำกันที่บ้าน ทำในห้องต่อหน้าสามี,3740,35270,496,model,example ; model ; kind ; way ; version ; mode,N,n.,baēp,_baēp,การคลอดแบบโบราณนั้นทำกันที่บ้าน ทำในห้องต่อหน้าสามี,สิ่งที่กำหนดให้ถือเป็นหลักหรือเป็นแนวดำเนิน,,,style; way; form; pattern,,,matched
54,57,ออก,exit,ʔɔ̀ːk,79732,รัฐบาลออกบัตรประชาชนให้ประชาชนทุกคน,,,,,exit,,,xxk,,,,,,,,,freq_only
55,58,ที่สุด,most,tʰîː sùt,29122,รัฐมนตรีคลังเป็นผู้ทรงอิทธิพลมากที่สุดในคณะรัฐมนตรีชุดนี้,21870,34353,,most,most,ADV,,thī̀s̄ud,,,,,,maximally; greatest,,,dict_only
56,59,เรา,we; us,raw,96905,เราคิดว่าอาจารย์ไม่น่าจะว่างนะ,5614,6865,8110,we,we,PRON,pr. pers.,rao,#NAME?,เรายังไม่ทราบแน่ชัดว่าบทเรียนต่างๆ ควรมีลำดับอย่างไร,สรรพนามบุรุษที่ 1ใช้แทนชื่อคนหลายคนซึ่งรวมทั้งผู้พูดด้วย,,,,,MINENG ; TOURIST,matched
57,60,โดย,by,doːj,103919,เขาทำไป โดยรู้เท่าไม่ถึงการณ์,2386,21152,1398,by,by ; via ; with ; by means of ; through ; as,PREP,prep.,dōi,#NAME?,ประชาชนไปทำงานโดยรถของขนส่งมวลชน,,ด้วย,,by means of; through,,,matched
58,61,ดี,good,diː,82144,คนป่วยมีสุขภาพดีขึ้นหลังจากได้พักเป็นระยะเวลานาน,2329,33869,1347,fine,good ; nice ; pleasant ; favorable ; fine,ADJ,adj.,dī,#NAME?,นักร้องร้านนี้เสียงดีมาก,,"เพราะ, ไพเราะ",,nice; pleasant,,,matched
59,62,เพื่อ,for,pʰɯ̂ːa,87377,ผู้ควบคุมจำเป็นต้องปิดเครือข่าย และสถานีงานทั้งหมด เพื่อทำให้ระบบกลับคืนสู่สภาพปกติ,4727,5475,7057,for,for ; in order to ; for the purpose of ; so as to,CONJ,conj.,pheūa,\pheūa,ผู้ควบคุมจำเป็นต้องปิดเครือข่าย และสถานีงานทั้งหมด เพื่อทำให้ระบบกลับคืนสู่สภาพปกติ,,"เหตุด้วย, เพราะด้วย, เพราะ, เพราะว่า, ด้วย, ด้วยว่า, เกี่ยวกับ, เนื่องด้วย, สำหรับ",,for the sake of; for the purpose of; on behalf of; in order that; in order to; so that,,RID,matched
60,63,จึง,therefore,tɕɯŋ,71254,เมื่อทำงานเสร็จ พนักงานจึงกลับบ้าน,,,,,therefore,,,cụng,,,,,,,,,freq_only
61,64,ต่อ,to; connector; per,tɔ̀ː,62988,พ่อกับลูกช่วยกันต่อกรงสุนัขใหม่ให้ใหญ่ขึ้น,,,,,to; connector; per,,,t̀x,,,,,,,,,freq_only
62,65,ครั้ง,time,kʰráŋ,46658,เรามาดูภาพยนต์ที่นี่เป็นครั้งที่ 5 แล้ว,986,31139,3790,time,time,N,n.,khrang,¯khrang,เรามาดูภาพยนต์ที่นี่เป็นครั้งที่ 5 แล้ว,,"หน, ที, คราว",,,,RID,matched
63,66,เขา,he,kʰǎw,139886,ที่บ้านสวนพ่อจะเลี้ยงนกเขาไว้ดูเล่นแก้เหงา,,,,,he,,,k̄heā,,,,,,,,,freq_only
64,67,หลาย,many,lǎːj,36281,ในปีนี้จะมีการประชุมระหว่างประเทศที่กรุงเทพฯ หลายครั้ง,,,,,many,,,h̄lāy,,,,,,,,,freq_only
65,68,ผู้,person,pʰûː,115882,เขาจะไม่ปล่อยให้ผู้กระทำผิดลอยนวลไปได้แน่นอน,,,,,person,,,p̄hū̂,,,,,,,,,freq_only
66,69,ทุก,each,tʰúk,52527,ประชาชนทุกคนควรไปเลือกตั้ง,3189,34383,10336,every,each ; every ; all,DET,adj.,thuk,¯thuk,ประชาชนทุกคนควรไปเลือกตั้ง,,"ทั้งหมด, ทั้งปวง",,all; per; each,,RID,matched
67,70,น้อย,little,nɔ́ːj,28350,เขาหยิบเนื้ออันน้อยส่งให้เด็กชายที่ยืนอยู่ข้างโต๊ะ,3349,38363,6353,few,little ; small ; slight ; tiny; sparse ; scant ; scanty,ADJ,adj.,nøi,¯nøi,เขาหยิบเนื้ออันน้อยส่งให้เด็กชายที่ยืนอยู่ข้างโต๊ะ,,"นิดหน่อย, น้อยนิด",มาก,a few; little; small; less; sparse; scant; scanty,,RID ; TOURIST,matched
68,71,คือ,is,kʰɯː,74385,ผู้จัดการฝ่ายการตลาดคือผู้ที่ได้รับคัดเลือกให้เป็นพนักงานดีเด่น,1417,12307,3353,namely,that is ; that is to say ; to wit ; namely ; viz ; i.e. ; for example,ADV,adv.,kheū,#NAME?,โลกของเราประกอบด้วยธาตุพื้นฐาน 4 อย่าง คือ ดิน น้ำ ลม ไฟ,,"ได้แก่, กล่าวคือ",,i.e.; that is; for example,,,matched
69,72,หาก,if,hàːk,26645,แม้ประเทศจะมีถนนดีๆ หากคนใช้ไม่มีคุณภาพ บ้านเมืองจะพัฒนาได้ยาก,7198,6623,1696,if,if ; provided that ; in case of ; in the event of,CONJ,conj.,hāk,_hāk,แม้ประเทศจะมีถนนดีๆ หากคนใช้ไม่มีคุณภาพ บ้านเมืองจะพัฒนาได้ยาก,,"ถ้า, แม้",,provided that; in case of; in the event of,,,matched
70,73,เกิด,born,kɤ̀ːt,74608,แผ่นดิสก์ยังคงหมุนอยู่ด้วยแรงเฉื่อยซึ่งก็ยังเร็วพอที่จะเกิดแรงยกตัวสำหรับหัวอ่าน,559,9852,4441,be born,be born,V,v.,koēt,_koēt,ตลอดเวลาที่เด็กอยู่ในท้องแม่นานถึง 9 เดือนจนกระทั่งเกิด เด็กต้องการความเอาใจใส่ดูแลอย่างใกล้ชิดเพื่อความปลอดภัยของชีวิต,,"คลอด, กำเนิด",ตาย,take birth,,MINENG ; SOCIO,matched
71,74,ปี,year,piː,66965,เครือข่ายคอมพิวเตอร์เป็นสิ่งใหม่เริ่มมีใช้ครั้งแรกในปี 1969,4125,13406,7497,year,year,N,n.,pī,#NAME?,เครือข่ายคอมพิวเตอร์เป็นสิ่งใหม่เริ่มมีใช้ครั้งแรกในปี 1969,เวลา 365 หรือ 366 วันตามปีสุริยคติ แบ่งเป็น 12 เดือน ตามระบบสากล เริ่มตั้งแต่ วันที่ 1 มกราคม ถึงวันที่ 31 ธันวาคม,ศก,,,,CALEND ; MINENG ; TOURIST,matched
72,76,ใหม่,new,màj,35961,บ้านนี้เพิ่งทาสีใหม่ๆ,7368,7920,5304,new,new ; novel ; latest ; fresh ; ground-breaking ; incoming,ADJ,adj.,mai,_mai,เขาเป็นคนหนึ่งที่เห่อดาราภาพยนตร์คนใหม่,,,เก่า,novel; latest; recent; fresh; ground-breaking,,,matched
86,90,เริ่ม,begin,rɤ̂ːm,22910,โครงการวิจัยของสำนักงานวิจัยเริ่มใหม่ในปี 2544,,,,,begin,,,reìm,,,,,,,,,freq_only
74,78,ส่วน,section,sùːan,55947,อาหารจานแค่นี้ ใส่น้ำตาลแค่เศษหนึ่งส่วนสี่ช้อนก็พอ,6390,35764,9389,part,portion ; share ; section ; part ; piece ; element,N,n.,sūan = suan,_sūan = _suan,การคิดไตร่ตรองมนุษย์ประกอบด้วยสองส่วน คือ ส่วนที่มีเหตุผล (rational) และส่วนที่ไร้เหตุผล (irrational),ส่วนที่แบ่งจากสิ่งรวม,"แผนก, ตอน, ท่อน",,portion; component,,SCIENTIA (math),matched
75,79,รับ,receive,ráp,36786,เขารับองค์พระจากหลวงพี่ที่ปลุกเสกแล้วอย่างระมัดระวัง,5485,4039,8120,receive,receive ; get ; obtain ; acquire ; take ; take up ; pick up ; be given,V,v.,rap,¯rap,เขารับองค์พระจากหลวงพี่ที่ปลุกเสกแล้วอย่างระมัดระวัง,ยื่นมือออกถือเอาสิ่งของที่ผู้อื่นส่งให้,,,get; accept; obtain; acquire; take; be given,,,matched
76,80,แรก,first,rɛ̂ːk,24834,นักท่องเที่ยวบางคนเพิ่งเคยมาเที่ยวภูเก็ตครั้งแรก จึงรู้สึกตื่นเต้นกับความสวยงามของทัศนียภาพ,5645,17276,7957,first,first ; initial ; primary ; original,ADJ,adj.,raēk,\raēk,นักท่องเที่ยวบางคนเพิ่งเคยมาเที่ยวภูเก็ตครั้งแรก จึงรู้สึกตื่นเต้นกับความสวยงามของทัศนียภาพ,มาก่อนเพื่อน,,,initial; primary,,,matched
77,81,พระ,monk,pʰráʔ,38020,เมื่อเราไปวัด เรามักจะพบว่าในโบสถ์จะมีพระพุทธรูปขนาดใหญ่เป็นพระประทาน 1 องค์,4501,14110,7265,monk,Buddhist monk ; monk,N,n.,phra,¯phra,เราเรียนที่จะกินข้าววันละ 3 เวลาถ้าเราบวชเป็นพระเราก็เรียนใหม่ที่จะกินวันละ 2 เวลา,นักบวชในศาสนา,"สงฆ์, ภิกษุ, บรรพชิต",,priest,vara (pli),INSOLITE ; RELIGIO (Buddha) ; TOURIST,matched
78,82,ทำงาน,work,tʰam ŋaːn,30160,เขาทำงานรักษาคนที่มีอาการผิดปกติทางจิต,3099,24540,9893,work,work,V,v. exp.,tham ngān,#NAME?,เขาทำงานรักษาคนที่มีอาการผิดปกติทางจิต,ปฏิบัติหน้าที่,"ดำเนินการ, ดำเนินกิจการ, ปฏิบัติการ",,do a job; do a task,,,matched
79,83,วัน,day,wan,52803,ผู้นำฝ่ายค้านคาดว่าแต่ละวันแต่นี้ไปสถานการณ์จะรุนแรงกว่านี้,5995,7127,10776,day,day ; date,N,n.,wan,#NAME?,ผู้นำฝ่ายค้านคาดว่าแต่ละวันแต่นี้ไปสถานการณ์จะรุนแรงกว่านี้,ระยะเวลา 24 ชั่วโมง ตั้งแต่เที่ยงคืนถึงเที่ยงคืนถัดไป,,,daytime,,MINENG,matched
